articles_links-href,prix,marque,modele,taille_ecran,couleur,description,image-src
https://www.amazon.fr/Apple-MacBook-avec-13-Pouces-256-Go/dp/B08N5VJZHW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-20,979,Apple,macbook air,13 Pouces,Argent,"Apple Ordinateur Portable MacBook Air 2020 : Puce M1, éCran Retina 13′′, 8 Go de RAM, 256 Go de Stockage SSD, Clavier rétroéClairé, Caméra FaceTime HD, Touch ID; Argent",https://m.media-amazon.com/images/I/61EdyD3MchL._AC_SX679_.jpg
https://www.amazon.fr/MEDION-MD62560-Portable-Graphique-Graphics/dp/B0C7CQDKNK/ref=sr_1_19?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-19,161,MEDION,30035746,14 Pouces,Noir,"MEDION - E14223 (MD62560), PC Portable 14"" - Intel Celeron N4120, 4 Go RAM, SSD 128 Go, Carte Graphique Intel HD Graphics, Windows 11 Home S Mode 64 Bit",https://m.media-amazon.com/images/I/716hvMQJDmL._AC_SX679_.jpg
https://www.amazon.fr/Acer-A315-24P-R7AS-Ordinateur-Portable-LPDDR5X/dp/B0BS9QMJMB/ref=sr_1_18?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-18,459,Acer,A315-24P-R7AS,"15,6 Pouces",Gris,"Acer Aspire 3 A315-24P-R7AS Ordinateur Portable 15,6"" FHD LCD - AMD Ryzen™ 5 7520U - 8 Go RAM LPDDR5X- 512Go PCIe NVMe SSD- Windows 11- Clavier AZERTY (Français), Laptop Gris, 15""",https://m.media-amazon.com/images/I/51egpgRSExL._AC_SX679_.jpg
https://www.amazon.fr/Apple-MacBook-avec-13-Pouces-256-Go/dp/B08N5VPXLH/ref=sr_1_17?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-17,979,Apple,macbook air,13 Pouces,Or,"Apple Ordinateur Portable MacBook Air 2020 : Puce M1, éCran Retina 13′′, 8 Go de RAM, 256 Go de Stockage SSD, Clavier rétroéClairé, Caméra FaceTime HD, Touch ID; Or",https://m.media-amazon.com/images/I/613G5HzmnEL._AC_SX679_.jpg
https://www.amazon.fr/Dell-Inspiron-Ordinateur-Processeur-Graphique/dp/B0CJJTBQ9J/ref=sr_1_16?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-16,449,Dell,Inspiron 15 3520 Laptop,"15,6 Pouces",Carbon Black,"Dell Inspiron 15 3520 Ordinateur Portable, Processeur Intel Core i3-1215U, Écran 15.6"" FHD 120HZ, 8Go RAM, 512Go SSD, Graphique Intel UHD, Windows 11 Home, Carbon Black",https://m.media-amazon.com/images/I/716gPG3kcbL._AC_SX679_.jpg
https://www.amazon.fr/Lenovo-Ordinateur-Portable-fran%C3%A7ais-7388/dp/B0CL4X6ZND/ref=sr_1_12?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-12,377,Lenovo,,"15,6 Pouces","15,6 Inch","Lenovo (FullHD 15,6 Zoll Ordinateur Portable (Intel® Quad N5100 4x2.80 GHz, 16Go DDR4, 1000 Go SSD, Intel™ UHD, HDMI, BT, USB 3.0, Webcam, WLAN, Windows 11, Clavier AZERTY [français]) #7388",https://m.media-amazon.com/images/I/51fE7FmJZ2L._AC_SX679_.jpg
https://www.amazon.fr/Acer-A317-55P-36YL-Ordinateur-Portable-Graphics/dp/B0C1L22SS1/ref=sr_1_11?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-11,549,Acer,Aspire A317-55P-36YL,"17,3 Pouces",,"Acer Aspire 3 A317-55P-36YL Ordinateur Portable 17,3'' Full HD, PC Portable (Intel Core i3-N305, RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris",https://m.media-amazon.com/images/I/51Qp61i1xZL._AC_SX679_.jpg
https://www.amazon.fr/Apple-2022-MacBook-avec-Puce/dp/B0B3BMTRVK/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-10,1230,Apple,Apple MacBook Air avec puce M2,13.6 Pouces,Minuit,"Apple 2022 MacBook Air avec Puce M2 : écran Liquid Retina de 13,6 Pouces, 8GB de RAM, 256 Go de Stockage SSD ; Minuit",https://m.media-amazon.com/images/I/71VTsuH2+7L._AC_SX679_.jpg
https://www.amazon.fr/Lenovo-IdeaPad-17IAU7-Ordinateur-Portable/dp/B0CGXW6GMQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-9,479,Lenovo,Lenovo IdeaPad 3 17IAU7,"17,3 Pouces",Bleu,"Lenovo IdeaPad 3 17IAU7 - Ordinateur Portable 17.3'' HD+ (Intel Core i3-1215U, RAM 8Go, SSD 512Go, Intel UHD Graphics, Windows 11 Home) Clavier AZERTY Français - Bleu",https://m.media-amazon.com/images/I/71fwkUBo9KL._AC_SX679_.jpg
https://www.amazon.fr/HP-Pavilion-15-eg2000sf-Portable-i5-1235U/dp/B0BB37LMJZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-8,629,HP Pavilion,750D7EA,"15,6 Pouces",argent,"HP Pavilion 15-eg2000sf PC Portable 15.6"" FHD (Intel Core i5-1235U, RAM 16 Go, SSD 512 Go, AZERTY, Windows 11 Famille) Argent naturel",https://m.media-amazon.com/images/I/714KdklPwJL._AC_SX679_.jpg
https://www.amazon.fr/Acer-A115-32-C3AK-Ordinateur-Portable-Celeron%C2%AE/dp/B0B1QDNQMF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-7,219,Acer,Aspire A115-32-C3AK,15.3 Pouces,Gris,"Acer Aspire 1 A115-32-C3AK Ordinateur Portable 15,6'' Full HD, PC Portable (Intel Celeron N4500, RAM 4 Go, 128 Go eMMC, Intel UHD Graphics, Windows 11 ) - Clavier AZERTY (Français), Laptop Gris",https://m.media-amazon.com/images/I/71zvzUcxaPL._AC_SX679_.jpg
https://www.amazon.fr/Lenovo-IdeaPad-Slim-14IAH8-Ordinateur/dp/B0CGXWFR2C/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-6,549,Lenovo,Lenovo IdeaPad Slim 3 14IAH8,14 Pouces,Gris,"Lenovo IdeaPad Slim 3 14IAH8 - Ordinateur Portable 14'' FHD (Intel Core i5-12450H, RAM 16Go, SSD 512Go, Intel UHD Graphics, Windows 11 Home) Clavier AZERTY Français - Gris",https://m.media-amazon.com/images/I/71GnNgZKoDL._AC_SX679_.jpg
